Overall,Preparation,Gaming,Attendance,Extra
3.33,1,1,1,0
3.33,1,1,1,0
3.33,1,1,1,0
3.35,1,1,1,0
3.37,2,2,2,0
3.38,1,1,1,0
3.38,1,1,1,0
3.38,1,1,1,0
3.38,1,1,1,0
3.38,1,1,1,0
3.38,1,1,1,1
3.38,1,1,1,0
3.38,1,1,1,1
3.39,0,0,2,1
3.39,1,2,2,1
3.43,2,2,2,0
3.44,1,1,2,0
3.44,1,2,1,1
3.44,1,2,1,1
3.44,1,1,1,0
3.44,1,1,1,0
3.44,1,1,1,0
3.45,0,2,1,0
3.46,2,2,1,0
3.48,0,2,2,1
3.5,0,2,0,1
3.5,1,2,2,1
3.5,0,2,2,1
3.5,0,1,2,0
3.5,0,1,2,0
3.5,2,2,2,1
3.5,0,2,2,1
3.5,0,1,2,1
3.5,0,0,2,1
3.5,2,2,2,1
3.5,2,2,2,1
3.5,0,1,2,0
3.5,0,0,2,1
3.5,0,1,2,0
3.5,1,1,1,0
3.5,1,1,1,0
3.5,1,1,1,0
3.5,1,1,1,0
3.5,1,1,1,0
3.5,1,1,1,0
3.5,1,1,1,0
3.54,0,0,2,0
3.55,2,2,2,0
3.55,2,2,2,0
3.56,1,2,1,1
3.56,1,2,1,1
3.56,1,2,1,1
3.56,1,2,1,1
3.56,1,2,1,1
3.56,1,2,1,0
3.56,1,2,1,1
3.56,1,2,1,1
3.56,1,2,1,1
3.56,1,2,1,0
3.56,1,2,1,1
3.6,0,2,2,0
3.6,1,2,1,1
3.6,1,2,1,1
3.6,1,2,1,1
3.6,1,2,1,1
3.61,2,1,2,1
3.62,1,2,2,1
3.63,1,2,1,1
3.63,1,2,1,1
3.64,0,1,2,0
3.64,1,2,1,1
3.65,1,0,2,1
3.65,1,0,2,0
3.67,1,2,2,0
3.67,1,1,1,0
3.67,1,2,1,1
3.67,1,1,1,0
3.67,1,2,2,0
3.67,1,1,1,0
3.67,1,2,2,0
3.67,1,1,1,0
3.67,1,1,1,0
3.67,1,1,1,0
3.68,1,2,2,1
3.69,2,1,2,1
3.69,2,1,2,1
3.7,2,1,2,1
3.7,1,1,2,1
3.7,1,2,1,1
3.7,1,2,1,1
3.7,1,2,2,0
3.7,1,2,1,1
3.7,1,2,1,1
3.7,1,2,1,0
3.7,1,2,1,0
3.7,0,2,2,1
3.7,0,1,2,0
3.7,0,1,2,0
