Department,Gender,HSC,SSC,Income,Hometown,Computer,Preparation,Gaming,Attendance,Job,English,Extra,Semester,Last,Overall
1,1,2.94,4.39,1,1,4,0,2,0,0,4,0,3,2.64,2.64
1,1,3.59,5.0,3,1,2,0,2,0,0,4,0,3,2.69,2.69
1,1,3.0,4.33,0,1,1,0,2,0,0,4,0,3,2.69,2.69
1,1,3.67,5.0,6,0,3,0,2,0,0,4,0,3,2.69,2.69
1,1,4.08,5.0,1,0,3,0,2,0,0,4,0,3,2.69,2.69
1,1,4.33,5.0,3,1,4,0,2,1,0,4,0,0,2.88,2.7
1,1,5.0,5.0,5,0,4,0,2,1,1,4,0,10,2.83,2.7
1,1,3.92,5.0,8,0,3,0,2,1,0,4,0,4,2.83,2.7
1,0,5.0,5.0,5,1,3,2,2,2,1,3,1,5,2.41,2.75
1,1,5.0,5.0,5,0,3,1,1,2,1,3,1,5,2.35,2.75
1,1,3.92,5.0,5,1,1,0,2,2,0,3,1,0,2.89,2.75
1,1,4.3,4.75,5,1,4,0,2,1,0,4,0,0,2.88,2.75
1,0,4.0,5.0,1,0,4,0,2,1,0,4,0,0,2.75,2.75
1,1,4.0,4.13,5,1,4,0,2,1,0,4,0,0,2.82,2.75
1,1,4.95,5.0,5,0,4,0,2,1,0,4,0,0,2.88,2.75
1,1,4.44,4.38,8,0,3,0,2,1,0,4,0,10,2.81,2.75
1,1,3.75,5.0,8,0,5,0,2,1,0,4,0,9,2.84,2.75
1,1,3.58,4.61,3,0,5,0,2,1,0,4,0,9,2.81,2.75
1,0,4.0,4.89,0,0,3,0,2,1,0,4,0,9,2.79,2.75
1,0,4.67,5.0,0,0,3,0,2,1,0,4,0,9,2.83,2.75
1,0,4.5,4.5,8,0,1,0,2,1,1,4,0,9,2.76,2.75
1,1,4.25,4.94,4,1,5,0,2,1,0,4,1,9,2.84,2.75
1,1,4.0,4.5,5,1,3,0,2,1,0,4,0,8,2.75,2.75
1,0,3.25,4.17,5,0,5,0,2,1,0,4,0,7,2.88,2.75
1,1,2.67,4.11,8,1,5,0,2,1,1,4,0,7,2.75,2.75
1,1,4.42,4.44,7,1,3,0,2,1,0,4,0,7,2.8,2.75
1,1,4.75,5.0,4,1,5,0,2,1,0,4,1,6,2.88,2.75
1,1,3.75,4.78,8,0,5,0,2,1,0,4,1,6,2.75,2.75
1,1,3.5,5.0,0,1,1,0,2,1,0,4,0,6,2.77,2.75
1,0,3.33,4.59,0,0,5,0,2,1,0,4,0,4,2.75,2.75
1,1,4.0,4.89,0,0,3,0,2,1,0,4,0,4,2.75,2.75
1,1,3.67,4.77,0,0,3,0,2,1,0,4,0,4,2.83,2.75
1,1,4.25,5.0,8,1,1,0,2,1,0,4,0,3,2.75,2.75
1,0,4.17,5.0,5,1,3,0,2,1,0,4,0,3,2.75,2.75
1,0,3.67,4.73,5,0,2,0,2,1,0,4,0,3,2.75,2.75
1,0,4.08,5.0,1,1,3,0,2,1,0,4,0,3,2.75,2.75
1,1,4.5,5.0,8,0,1,0,0,1,0,1,0,1,2.27,2.79
1,1,3.5,4.83,5,1,5,0,2,1,0,4,1,3,2.81,2.81
1,1,3.25,4.36,3,1,5,0,2,1,0,4,1,3,2.81,2.81
1,0,3.34,4.69,6,1,5,0,2,1,0,4,1,0,2.96,2.84
1,0,4.08,5.0,8,1,4,0,2,1,0,4,0,10,2.99,2.84
1,1,4.08,5.0,0,1,4,0,2,1,0,4,0,7,2.94,2.84
1,1,3.42,4.33,8,0,5,0,2,1,0,4,0,7,2.94,2.84
1,0,4.5,4.75,5,1,3,2,2,1,0,2,0,9,1.52,2.846
1,0,4.42,4.23,5,1,3,0,2,1,0,4,0,3,2.86,2.86
1,0,3.5,4.73,5,0,2,0,2,1,0,4,0,3,2.88,2.88
1,1,3.58,4.68,5,0,1,0,2,1,0,4,0,3,2.88,2.88
1,1,4.67,5.0,5,0,3,0,2,1,0,3,0,3,2.88,2.88
1,1,4.57,4.95,5,0,3,0,2,1,0,3,0,3,2.88,2.88
1,0,4.17,5.0,5,0,5,0,2,1,0,4,0,3,2.88,2.88
1,0,3.75,4.69,5,0,4,0,2,1,0,4,0,0,2.89,2.89
1,1,4.25,5.0,8,1,4,0,2,1,0,4,0,10,2.91,2.89
1,0,4.17,4.61,5,0,3,0,2,1,0,3,0,9,2.89,2.89
1,0,4.67,5.0,5,1,2,0,2,1,0,4,0,9,2.93,2.89
1,0,3.83,5.0,5,0,3,0,2,1,0,3,0,9,2.89,2.89
1,1,4.08,4.78,0,1,3,0,2,1,0,4,0,8,2.92,2.89
1,1,3.58,4.88,0,1,2,0,2,1,0,4,0,8,2.92,2.89
1,1,4.0,4.7,3,1,1,0,1,1,0,3,1,1,2.46,2.9
1,1,4.58,4.0,0,1,3,0,2,0,0,4,0,0,2.66,2.9
1,1,4.1,3.75,5,0,4,0,2,0,0,4,0,10,2.57,2.9
1,1,3.33,4.61,1,1,3,0,2,0,0,4,0,10,2.44,2.9
1,1,3.67,3.06,0,1,5,0,2,0,0,4,1,9,2.55,2.9
1,1,4.17,4.61,8,0,5,0,2,0,0,4,0,9,2.64,2.9
1,0,3.83,5.0,5,1,4,0,2,0,0,4,0,9,2.6,2.9
1,1,4.67,4.75,1,1,3,0,2,0,0,4,0,8,2.6,2.9
1,1,4.5,4.28,5,1,3,0,2,0,0,4,0,8,2.6,2.9
1,1,4.33,5.0,0,0,5,0,2,0,0,4,0,7,2.5,2.9
1,1,3.17,4.67,2,1,4,0,2,0,0,4,0,7,2.41,2.9
1,0,4.5,4.56,8,0,3,0,2,0,0,4,0,7,2.5,2.9
1,0,3.76,4.0,0,1,4,0,2,0,0,4,0,7,2.56,2.9
1,1,2.59,4.88,1,0,5,0,2,0,0,4,0,7,2.55,2.9
1,1,3.33,3.78,5,1,4,0,2,0,0,4,0,7,2.69,2.9
1,0,4.5,5.0,5,1,5,0,2,0,0,4,1,6,2.67,2.9
1,1,4.17,4.61,5,1,3,0,2,0,0,4,0,6,2.5,2.9
1,0,4.42,5.0,5,0,3,0,2,0,0,3,0,4,2.67,2.9
1,1,3.85,5.0,5,0,4,0,2,0,0,4,0,4,2.42,2.9
1,1,3.92,5.0,0,1,2,0,2,1,0,4,0,3,2.92,2.92
1,0,4.0,5.0,1,1,4,0,2,0,0,4,0,0,2.42,2.94
1,1,3.33,4.89,3,1,2,0,2,1,0,4,0,3,2.94,2.94
1,1,3.92,4.73,5,1,3,0,2,1,0,4,0,3,2.94,2.94
1,0,3.42,4.68,2,1,2,0,2,1,0,4,0,3,2.94,2.94
1,1,4.5,4.75,5,1,1,1,2,1,0,4,1,9,2.48,2.98
1,0,4.5,5.0,0,0,3,1,2,2,0,3,1,1,3.45,3.0
1,1,5.0,5.0,5,1,3,0,2,2,0,4,0,3,3.0,3.0
1,1,5.0,5.0,8,0,3,0,0,1,0,4,1,5,2.45,3.0
1,0,5.0,5.0,8,0,3,0,1,2,0,3,0,5,3.22,3.0
1,0,4.5,4.75,5,1,1,2,2,2,0,4,0,0,3.17,3.0
1,1,3.08,4.68,1,1,3,0,2,1,0,4,0,3,3.0,3.0
1,0,3.92,5.0,1,0,5,0,2,1,0,4,0,3,3.0,3.0
1,1,3.67,4.68,1,0,3,0,2,1,0,4,0,3,3.0,3.0
1,0,3.92,5.0,8,0,4,0,2,1,0,4,0,3,3.0,3.0
1,0,3.53,5.0,6,0,2,0,2,1,0,4,0,3,3.0,3.0
1,1,3.83,4.73,1,1,3,1,2,0,0,5,1,3,3.06,3.06
1,0,2.93,4.71,8,1,4,1,2,0,0,3,1,3,3.06,3.06
1,1,3.5,5.0,0,0,5,1,2,0,0,3,1,3,3.06,3.06
1,1,5.0,5.0,5,1,4,1,2,2,0,3,1,5,2.94,3.07
1,1,4.0,4.92,5,1,3,1,1,2,0,3,1,1,3.0,3.08
1,1,3.92,5.0,5,1,4,1,1,1,0,4,0,0,3.29,3.08
1,1,3.6,4.94,8,1,4,1,1,1,0,4,0,0,3.25,3.08
1,1,3.83,4.75,8,1,3,1,1,1,0,4,0,10,3.25,3.08
1,0,3.51,3.19,3,1,3,1,1,1,0,3,0,10,3.25,3.08
1,1,4.44,5.0,8,0,5,1,1,1,1,2,0,9,3.25,3.08
1,0,3.92,5.0,8,1,3,1,1,1,0,3,0,9,3.28,3.08
1,1,4.5,5.0,5,0,3,1,1,1,0,4,0,9,3.3,3.08
1,1,4.5,5.0,0,0,1,1,1,1,1,2,0,9,3.26,3.08
1,1,3.42,4.0,4,1,4,1,1,1,1,2,0,7,3.3,3.08
1,0,3.86,5.0,0,1,5,1,1,1,0,3,0,7,3.25,3.08
1,1,5.0,5.0,3,1,4,1,1,1,0,3,0,4,3.25,3.08
1,1,4.08,5.0,3,1,1,1,1,2,0,3,1,0,2.73,3.09
1,1,4.0,4.33,3,1,3,0,1,2,0,1,0,8,2.69,3.1
1,1,4.83,5.0,5,1,1,1,2,1,0,3,0,8,2.83,3.1
1,1,5.0,5.0,3,1,3,2,0,2,0,3,1,5,3.11,3.11
1,1,3.42,4.63,3,1,3,1,2,2,0,5,1,3,3.13,3.13
1,1,4.33,4.68,0,0,5,1,2,2,0,3,1,3,3.13,3.13
1,0,4.0,5.0,5,0,3,1,2,2,0,3,1,3,3.13,3.13
1,1,3.08,4.06,8,1,3,1,2,2,0,4,0,3,3.13,3.13
1,1,3.92,5.0,3,1,4,1,1,1,0,3,0,10,3.34,3.15
1,1,4.44,5.0,3,0,5,1,1,1,0,4,0,10,3.3,3.15
1,0,3.92,5.0,0,0,5,1,1,1,0,3,0,9,3.34,3.15
1,1,3.42,4.17,1,0,3,1,1,1,0,3,0,8,3.33,3.15
1,0,4.58,5.0,1,0,3,1,1,1,0,3,0,8,3.33,3.15
1,0,3.83,5.0,1,1,3,1,1,1,0,3,0,8,3.33,3.15
1,0,4.5,5.0,8,0,3,1,1,1,0,4,0,6,3.3,3.15
1,1,4.75,5.0,8,1,4,1,2,2,0,3,1,3,3.16,3.16
1,1,4.19,4.36,5,0,3,1,2,1,0,3,1,3,3.19,3.19
1,1,3.5,4.73,5,1,3,1,2,1,0,4,0,3,3.19,3.19
1,1,3.38,5.0,5,0,5,1,2,1,0,3,1,3,3.19,3.19
1,1,4.0,5.0,8,1,5,1,2,1,1,4,0,3,3.19,3.19
1,1,3.8,4.56,8,0,3,1,2,1,0,3,1,3,3.21,3.21
1,1,4.0,4.88,8,1,3,2,2,2,0,3,0,9,3.27,3.22
1,1,4.2,5.0,5,0,5,1,2,2,1,4,1,1,3.02,3.25
1,1,3.67,5.0,3,0,5,1,2,2,0,3,1,0,3.09,3.25
1,1,3.5,4.88,3,1,4,1,2,2,0,4,0,0,3.1,3.25
1,1,3.5,4.56,3,1,3,0,2,1,0,5,1,0,3.01,3.25
1,1,4.0,4.88,8,0,5,1,2,0,1,4,0,9,3.08,3.25
1,1,3.93,5.0,5,0,2,1,2,0,0,5,1,9,3.04,3.25
1,1,4.08,5.0,5,0,4,1,2,0,0,4,0,9,3.04,3.25
1,1,4.33,4.81,8,1,3,1,1,1,0,3,0,9,3.22,3.25
1,1,4.25,5.0,5,1,4,1,2,2,0,4,0,9,3.11,3.25
1,1,4.1,5.0,5,1,1,1,2,2,0,5,1,9,3.1,3.25
1,0,3.87,4.94,8,0,3,1,2,0,0,5,1,8,3.08,3.25
1,0,4.58,5.0,8,0,4,1,2,0,0,4,0,7,3.04,3.25
1,1,3.83,5.0,0,1,4,0,2,1,0,4,0,6,3.0,3.25
1,1,4.5,4.28,0,0,5,1,2,0,0,3,1,6,3.05,3.25
1,0,4.0,5.0,8,1,5,1,2,0,0,5,1,6,3.08,3.25
1,0,4.0,5.0,4,1,1,1,2,0,0,5,1,6,3.08,3.25
1,0,3.83,5.0,8,1,3,1,2,0,0,4,0,4,3.06,3.25
1,1,3.67,5.0,0,0,3,0,2,1,0,4,0,4,3.0,3.25
1,0,3.92,4.18,8,0,5,1,2,0,0,3,1,4,3.08,3.25
1,1,3.5,4.81,3,1,3,1,1,1,0,3,0,3,3.25,3.25
1,1,3.07,4.85,3,1,3,1,1,1,0,3,0,3,3.25,3.25
1,1,3.92,5.0,5,0,3,1,1,1,0,3,0,3,3.25,3.25
1,1,4.08,5.0,3,1,2,1,1,1,0,4,0,3,3.25,3.25
1,1,3.83,5.0,5,1,1,1,1,1,0,3,0,3,3.25,3.25
1,1,3.58,4.83,0,1,2,1,1,1,0,3,0,3,3.25,3.25
1,1,3.92,5.0,5,1,3,1,1,1,0,3,0,3,3.25,3.25
