Overall,Last,HSC,SSC
3.15,3.33,3.83,5.0
3.15,3.3,4.5,5.0
3.16,3.16,4.75,5.0
3.19,3.19,4.19,4.36
3.19,3.19,3.5,4.73
3.19,3.19,3.38,5.0
3.19,3.19,4.0,5.0
3.21,3.21,3.8,4.56
3.22,3.27,4.0,4.88
3.25,3.02,4.2,5.0
3.25,3.09,3.67,5.0
3.25,3.1,3.5,4.88
3.25,3.01,3.5,4.56
3.25,3.08,4.0,4.88
3.25,3.04,3.93,5.0
3.25,3.04,4.08,5.0
3.25,3.22,4.33,4.81
3.25,3.11,4.25,5.0
3.25,3.1,4.1,5.0
3.25,3.08,3.87,4.94
3.25,3.04,4.58,5.0
3.25,3.0,3.83,5.0
3.25,3.05,4.5,4.28
3.25,3.08,4.0,5.0
3.25,3.08,4.0,5.0
3.25,3.06,3.83,5.0
3.25,3.0,3.67,5.0
3.25,3.08,3.92,4.18
3.25,3.25,3.5,4.81
3.25,3.25,3.07,4.85
3.25,3.25,3.92,5.0
3.25,3.25,4.08,5.0
3.25,3.25,3.83,5.0
3.25,3.25,3.58,4.83
3.25,3.25,3.92,5.0
3.25,3.25,4.25,5.0
3.25,3.25,4.42,4.86
3.25,3.25,4.5,4.86
3.25,3.25,3.75,4.59
3.26,3.11,4.5,4.75
3.27,3.27,5.0,4.67
3.27,3.47,4.0,5.0
3.27,3.44,4.3,5.0
3.27,3.43,4.25,5.0
3.27,3.48,4.25,4.61
3.27,3.43,4.25,5.0
3.27,3.47,3.14,4.63
3.28,3.33,4.5,4.75
3.3,3.3,3.67,4.78
3.3,3.3,3.83,5.0
3.31,3.31,4.58,5.0
3.31,3.31,4.75,5.0
3.31,3.31,4.17,5.0
3.31,3.31,3.67,4.56
3.32,3.32,4.5,4.75
3.32,3.32,4.08,4.17
3.33,2.71,4.01,4.33
3.33,3.41,4.0,4.38
3.33,3.35,3.58,4.44
3.33,3.55,4.5,4.75
3.33,2.86,4.5,4.75
3.33,3.4,4.33,5.0
3.33,3.42,3.83,4.89
3.33,3.38,3.5,4.61
3.33,3.4,4.0,4.89
3.33,3.42,4.25,4.94
3.33,3.42,5.0,5.0
3.33,3.42,4.17,4.89
3.35,3.35,4.17,4.95
3.37,3.14,4.5,4.75
3.38,3.38,4.08,5.0
3.38,3.38,3.75,4.95
3.38,3.38,4.42,4.89
3.38,3.38,4.75,4.09
3.38,3.38,4.25,5.0
3.38,3.38,3.58,5.0
3.38,3.38,4.17,4.83
3.38,3.38,3.42,4.68
3.39,3.3,3.67,4.89
3.39,3.83,4.5,4.75
3.43,3.27,4.5,4.75
3.44,3.56,4.83,5.0
3.44,3.6,4.33,5.0
3.44,3.59,4.33,5.0
3.44,3.44,4.55,5.0
3.44,3.44,4.25,4.89
3.44,3.44,3.92,5.0
3.45,3.52,4.75,5.0
3.46,2.92,4.5,4.75
3.48,3.48,5.0,5.0
3.5,3.02,3.5,4.8
3.5,2.07,5.0,5.0
3.5,3.0,4.53,4.75
3.5,3.76,4.42,4.88
3.5,3.7,4.58,5.0
3.5,3.8,3.5,4.81
3.5,4.0,5.0,5.0
3.5,3.78,4.58,5.0
3.5,3.83,4.83,5.0
3.5,3.81,4.33,5.0
3.5,3.81,4.25,5.0
3.5,3.75,4.33,5.0
3.5,3.83,3.75,4.67
3.5,3.75,4.58,5.0
3.5,3.5,3.67,4.61
3.5,3.5,3.75,4.78
3.5,3.5,4.17,4.94
3.5,3.5,4.0,5.0
3.5,3.5,3.75,4.61
3.5,3.5,4.08,5.0
3.5,3.5,4.33,4.94
3.54,3.92,4.57,5.0
3.55,3.42,4.5,4.75
3.55,3.42,4.52,4.75
3.56,3.57,3.58,5.0
3.56,3.56,4.17,5.0
3.56,3.56,4.25,5.0
3.56,3.56,4.33,5.0
3.56,3.56,3.83,4.59
3.56,3.56,4.17,4.59
3.56,3.56,4.17,5.0
3.56,3.56,4.0,5.0
3.56,3.56,4.0,5.0
3.56,3.56,4.42,5.0
3.56,3.56,3.92,4.18
3.6,3.64,5.0,5.0
3.6,3.61,3.83,5.0
3.6,3.62,5.0,5.0
3.6,3.64,3.92,3.94
3.6,3.63,3.67,4.44
3.61,3.66,5.0,5.0
3.62,3.66,4.16,4.67
3.63,3.63,4.83,5.0
3.63,3.63,4.25,5.0
3.64,3.88,4.5,5.0
3.64,3.64,3.5,4.72
3.65,3.71,3.75,5.0
3.65,3.6,5.0,5.0
3.67,3.53,4.42,5.0
3.67,3.5,4.5,5.0
3.67,3.55,4.42,5.0
3.67,3.5,3.17,4.31
3.67,3.52,3.67,4.38
3.67,3.51,3.83,4.94
3.67,3.52,4.33,5.0
3.67,3.5,4.5,5.0
3.67,3.5,4.08,5.0
3.67,3.5,5.0,5.0
3.68,3.68,5.0,5.0
3.69,3.69,4.42,5.0
3.69,3.69,4.17,5.0
3.7,4.0,4.0,4.0
3.7,1.82,4.17,5.0
3.7,3.18,4.25,3.75
3.7,3.2,3.14,4.44
3.7,3.16,3.19,4.81
3.7,3.19,4.0,5.0
3.7,3.17,4.17,5.0
3.7,3.19,3.8,4.78
3.7,3.17,3.75,4.78
3.7,4.0,4.5,5.0
3.7,3.7,4.17,4.95
3.7,3.7,4.67,4.5
3.71,3.71,5.0,5.0
3.71,3.73,5.0,5.0
3.71,3.73,3.33,4.75
3.71,3.74,3.58,4.78
3.74,3.68,4.42,4.81
3.74,3.68,4.5,5.0
3.74,3.85,5.0,5.0
3.74,3.85,5.0,5.0
3.74,3.66,4.0,4.44
3.74,3.7,3.4,4.0
3.74,3.67,3.58,4.5
3.74,3.87,4.67,5.0
3.74,3.66,4.08,5.0
3.74,3.67,3.83,4.83
3.75,3.9,4.0,5.0
3.75,3.61,4.0,5.0
3.75,4.0,4.25,5.0
3.75,4.0,5.0,5.0
3.75,4.0,3.42,5.0
3.75,4.0,4.08,4.39
3.75,4.0,4.0,4.36
3.75,3.75,3.92,4.89
3.75,3.75,4.5,5.0
3.75,3.75,4.0,4.83
3.75,3.75,4.17,4.83
3.75,3.75,4.25,4.72
3.75,3.75,3.5,5.0
3.75,3.75,4.25,5.0
3.75,3.75,3.92,5.0
3.76,3.66,5.0,5.0
3.78,3.89,4.58,5.0
3.78,3.88,5.0,5.0
3.78,3.88,4.25,5.0
3.8,3.75,4.75,5.0
3.8,3.9,5.0,5.0
3.8,3.9,3.83,4.69
