Overall,Last,HSC,SSC,Semester
3.33,3.42,4.17,4.89,4
3.35,3.35,4.17,4.95,3
3.37,3.14,4.5,4.75,9
3.38,3.38,4.08,5.0,3
3.38,3.38,3.75,4.95,3
3.38,3.38,4.42,4.89,3
3.38,3.38,4.75,4.09,3
3.38,3.38,4.25,5.0,3
3.38,3.38,3.58,5.0,3
3.38,3.38,4.17,4.83,3
3.38,3.38,3.42,4.68,3
3.39,3.3,3.67,4.89,0
3.39,3.83,4.5,4.75,8
3.43,3.27,4.5,4.75,9
3.44,3.56,4.83,5.0,1
3.44,3.6,4.33,5.0,0
3.44,3.59,4.33,5.0,9
3.44,3.44,4.55,5.0,3
3.44,3.44,4.25,4.89,3
3.44,3.44,3.92,5.0,3
3.45,3.52,4.75,5.0,1
3.46,2.92,4.5,4.75,4
3.48,3.48,5.0,5.0,3
3.5,3.02,3.5,4.8,1
3.5,2.07,5.0,5.0,5
3.5,3.0,4.53,4.75,0
3.5,3.76,4.42,4.88,0
3.5,3.7,4.58,5.0,10
3.5,3.8,3.5,4.81,10
3.5,4.0,5.0,5.0,9
3.5,3.78,4.58,5.0,9
3.5,3.83,4.83,5.0,8
3.5,3.81,4.33,5.0,8
3.5,3.81,4.25,5.0,7
3.5,3.75,4.33,5.0,7
3.5,3.83,3.75,4.67,6
3.5,3.75,4.58,5.0,6
3.5,3.5,3.67,4.61,3
3.5,3.5,3.75,4.78,3
3.5,3.5,4.17,4.94,3
3.5,3.5,4.0,5.0,3
3.5,3.5,3.75,4.61,3
3.5,3.5,4.08,5.0,3
3.5,3.5,4.33,4.94,3
3.54,3.92,4.57,5.0,1
3.55,3.42,4.5,4.75,0
3.55,3.42,4.52,4.75,0
3.56,3.57,3.58,5.0,10
3.56,3.56,4.17,5.0,3
3.56,3.56,4.25,5.0,3
3.56,3.56,4.33,5.0,3
3.56,3.56,3.83,4.59,3
3.56,3.56,4.17,4.59,3
3.56,3.56,4.17,5.0,3
3.56,3.56,4.0,5.0,3
3.56,3.56,4.0,5.0,3
3.56,3.56,4.42,5.0,3
3.56,3.56,3.92,4.18,3
3.6,3.64,5.0,5.0,5
3.6,3.61,3.83,5.0,0
3.6,3.62,5.0,5.0,0
3.6,3.64,3.92,3.94,10
3.6,3.63,3.67,4.44,7
3.61,3.66,5.0,5.0,5
3.62,3.66,4.16,4.67,0
3.63,3.63,4.83,5.0,3
3.63,3.63,4.25,5.0,3
3.64,3.88,4.5,5.0,1
3.64,3.64,3.5,4.72,3
3.65,3.71,3.75,5.0,1
3.65,3.6,5.0,5.0,5
3.67,3.53,4.42,5.0,0
3.67,3.5,4.5,5.0,0
3.67,3.55,4.42,5.0,0
3.67,3.5,3.17,4.31,10
3.67,3.52,3.67,4.38,9
3.67,3.51,3.83,4.94,9
3.67,3.52,4.33,5.0,9
3.67,3.5,4.5,5.0,7
3.67,3.5,4.08,5.0,7
3.67,3.5,5.0,5.0,6
3.68,3.68,5.0,5.0,3
3.69,3.69,4.42,5.0,3
3.69,3.69,4.17,5.0,3
3.7,4.0,4.0,4.0,0
3.7,1.82,4.17,5.0,0
3.7,3.18,4.25,3.75,0
3.7,3.2,3.14,4.44,0
3.7,3.16,3.19,4.81,10
3.7,3.19,4.0,5.0,9
3.7,3.17,4.17,5.0,8
3.7,3.19,3.8,4.78,7
3.7,3.17,3.75,4.78,6
3.7,4.0,4.5,5.0,6
3.7,3.7,4.17,4.95,3
3.7,3.7,4.67,4.5,3
3.71,3.71,5.0,5.0,3
3.71,3.73,5.0,5.0,0
3.71,3.73,3.33,4.75,10
3.71,3.74,3.58,4.78,8
3.74,3.68,4.42,4.81,0
3.74,3.68,4.5,5.0,0
3.74,3.85,5.0,5.0,0
3.74,3.85,5.0,5.0,0
3.74,3.66,4.0,4.44,10
